ticker,reason,date_added
042110,liquidity,2025-05-13
019440,liquidity,2025-05-13
098660,liquidity,2025-05-13
063570,liquidity,2025-05-13
001360,liquidity,2025-05-13
303530,liquidity,2025-05-13
130740,liquidity,2025-05-13
033200,liquidity,2025-05-13
377460,liquidity,2025-05-13
246250,liquidity,2025-05-13
101330,liquidity,2025-05-13
043090,liquidity,2025-05-13
037400,liquidity,2025-05-13
005110,liquidity,2025-05-13
071460,liquidity,2025-05-13
294090,liquidity,2025-05-13
371950,liquidity,2025-05-13
001140,liquidity,2025-05-13
042510,liquidity,2025-05-13
298540,liquidity,2025-05-13
063760,liquidity,2025-05-13
290560,liquidity,2025-05-13
302550,liquidity,2025-05-13
046210,liquidity,2025-05-13
290090,liquidity,2025-05-13
217190,liquidity,2025-05-13
227950,liquidity,2025-05-13
059100,liquidity,2025-05-13
006740,liquidity,2025-05-13
412540,liquidity,2025-05-13
021650,liquidity,2025-05-13
171120,liquidity,2025-05-13
023810,liquidity,2025-05-13
004310,liquidity,2025-05-13
252500,liquidity,2025-05-13
069510,liquidity,2025-05-13
352940,liquidity,2025-05-13
352700,liquidity,2025-05-13
096690,liquidity,2025-05-13
115310,liquidity,2025-05-13
069640,liquidity,2025-05-13
221840,liquidity,2025-05-13
049520,liquidity,2025-05-13
245620,liquidity,2025-05-13
056700,liquidity,2025-05-13
054670,liquidity,2025-05-13
084870,liquidity,2025-05-13
045100,liquidity,2025-05-13
080720,liquidity,2025-05-13
352910,liquidity,2025-05-13
003520,liquidity,2025-05-13
405920,liquidity,2025-05-13
263810,liquidity,2025-05-13
217500,liquidity,2025-05-13
187270,liquidity,2025-05-13
123420,liquidity,2025-05-13
041910,liquidity,2025-05-13
068930,liquidity,2025-05-13
317870,liquidity,2025-05-13
353190,liquidity,2025-05-13
069140,liquidity,2025-05-13
065690,liquidity,2025-05-13
331380,liquidity,2025-05-13
023760,liquidity,2025-05-13
290740,liquidity,2025-05-13
053700,liquidity,2025-05-13
191420,liquidity,2025-05-13
005030,liquidity,2025-05-13
351330,liquidity,2025-05-13
101400,liquidity,2025-05-13
332370,liquidity,2025-05-13
093230,liquidity,2025-05-13
005800,liquidity,2025-05-13
000140,liquidity,2025-05-13
138080,liquidity,2025-05-13
042040,liquidity,2025-05-13
066410,liquidity,2025-05-13
050120,liquidity,2025-05-13
238120,liquidity,2025-05-13
087600,liquidity,2025-05-13
004150,liquidity,2025-05-13
153460,liquidity,2025-05-13
045060,liquidity,2025-05-13
005500,liquidity,2025-05-13
417970,liquidity,2025-05-13
069730,liquidity,2025-05-13
027410,liquidity,2025-05-13
005950,liquidity,2025-05-13
127710,liquidity,2025-05-13
038950,liquidity,2025-05-13
277410,liquidity,2025-05-13
089470,liquidity,2025-05-13
066670,liquidity,2025-05-13
072020,liquidity,2025-05-13
408920,liquidity,2025-05-13
267290,liquidity,2025-05-13
018120,liquidity,2025-05-13
094280,liquidity,2025-05-13
071840,liquidity,2025-05-13
136490,liquidity,2025-05-13
096610,liquidity,2025-05-13
225220,liquidity,2025-05-13
203690,liquidity,2025-05-13
123570,liquidity,2025-05-13
153490,liquidity,2025-05-13
036030,liquidity,2025-05-13
049180,liquidity,2025-05-13
067830,liquidity,2025-05-13
017390,liquidity,2025-05-13
013520,liquidity,2025-05-13
357580,liquidity,2025-05-13
078070,liquidity,2025-05-13
021050,liquidity,2025-05-13
019010,liquidity,2025-05-13
002100,liquidity,2025-05-13
038010,liquidity,2025-05-13
092600,liquidity,2025-05-13
005320,liquidity,2025-05-13
051390,liquidity,2025-05-13
030720,liquidity,2025-05-13
183490,liquidity,2025-05-13
015260,liquidity,2025-05-13
072870,liquidity,2025-05-13
239890,liquidity,2025-05-13
065650,liquidity,2025-05-13
044820,liquidity,2025-05-13
008370,liquidity,2025-05-13
006890,liquidity,2025-05-13
139050,liquidity,2025-05-13
003200,liquidity,2025-05-13
004970,liquidity,2025-05-13
187870,liquidity,2025-05-13
323350,liquidity,2025-05-13
368970,liquidity,2025-05-13
335810,liquidity,2025-05-13
012790,liquidity,2025-05-13
262840,liquidity,2025-05-13
023460,liquidity,2025-05-13
060570,liquidity,2025-05-13
111110,liquidity,2025-05-13
012600,liquidity,2025-05-13
201490,liquidity,2025-05-13
016090,liquidity,2025-05-13
099750,liquidity,2025-05-13
090470,liquidity,2025-05-13
284620,liquidity,2025-05-13
228340,liquidity,2025-05-13
377330,liquidity,2025-05-13
196450,liquidity,2025-05-13
279600,liquidity,2025-05-13
264450,liquidity,2025-05-13
298060,liquidity,2025-05-13
044480,liquidity,2025-05-13
088130,liquidity,2025-05-13
024070,liquidity,2025-05-13
109740,liquidity,2025-05-13
019680,liquidity,2025-05-13
291810,liquidity,2025-05-13
071850,liquidity,2025-05-13
117670,liquidity,2025-05-13
027710,liquidity,2025-05-13
017480,liquidity,2025-05-13
066620,liquidity,2025-05-13
074610,liquidity,2025-05-13
011370,liquidity,2025-05-13
092230,liquidity,2025-05-13
035000,liquidity,2025-05-13
196490,liquidity,2025-05-13
030350,liquidity,2025-05-13
002460,liquidity,2025-05-13
093190,liquidity,2025-05-13
376190,liquidity,2025-05-13
355690,liquidity,2025-05-13
365590,liquidity,2025-05-13
052300,liquidity,2025-05-13
154040,liquidity,2025-05-13
033180,liquidity,2025-05-13
004700,liquidity,2025-05-13
024090,liquidity,2025-05-13
246960,liquidity,2025-05-13
348030,liquidity,2025-05-13
006200,liquidity,2025-05-13
072520,liquidity,2025-05-13
055490,liquidity,2025-05-13
238200,liquidity,2025-05-13
301300,liquidity,2025-05-13
072990,liquidity,2025-05-13
056730,liquidity,2025-05-13
036670,liquidity,2025-05-13
115530,liquidity,2025-05-13
032540,liquidity,2025-05-13
160600,liquidity,2025-05-13
321370,liquidity,2025-05-13
005430,liquidity,2025-05-13
004590,liquidity,2025-05-13
002360,liquidity,2025-05-13
009180,liquidity,2025-05-13
117580,liquidity,2025-05-13
405000,liquidity,2025-05-13
122690,liquidity,2025-05-13
092130,liquidity,2025-05-13
237750,liquidity,2025-05-13
080530,liquidity,2025-05-13
090370,liquidity,2025-05-13
023790,liquidity,2025-05-13
336680,liquidity,2025-05-13
043360,liquidity,2025-05-13
311690,liquidity,2025-05-13
361570,liquidity,2025-05-13
065150,liquidity,2025-05-13
321260,liquidity,2025-05-13
215090,liquidity,2025-05-13
244460,liquidity,2025-05-13
001230,liquidity,2025-05-13
318410,liquidity,2025-05-13
361670,liquidity,2025-05-13
015860,liquidity,2025-05-13
119610,liquidity,2025-05-13
078020,liquidity,2025-05-13
020400,liquidity,2025-05-13
001470,liquidity,2025-05-13
023000,liquidity,2025-05-13
004450,liquidity,2025-05-13
003560,liquidity,2025-05-13
029460,liquidity,2025-05-13
091340,liquidity,2025-05-13
010280,liquidity,2025-05-13
024890,liquidity,2025-05-13
003460,liquidity,2025-05-13
251630,liquidity,2025-05-13
016100,liquidity,2025-05-13
159010,liquidity,2025-05-13
013570,liquidity,2025-05-13
094970,liquidity,2025-05-13
049120,liquidity,2025-05-13
950130,liquidity,2025-05-13
084440,liquidity,2025-05-13
046440,liquidity,2025-05-13
220180,liquidity,2025-05-13
222980,liquidity,2025-05-13
004910,liquidity,2025-05-13
035620,liquidity,2025-05-13
148930,liquidity,2025-05-13
007280,liquidity,2025-05-13
000860,liquidity,2025-05-13
222040,liquidity,2025-05-13
064520,liquidity,2025-05-13
000700,liquidity,2025-05-13
054630,liquidity,2025-05-13
001270,liquidity,2025-05-13
002240,liquidity,2025-05-13
002150,liquidity,2025-05-13
003830,liquidity,2025-05-13
007530,liquidity,2025-05-13
261780,liquidity,2025-05-13
079970,liquidity,2025-05-13
107600,liquidity,2025-05-13
403550,liquidity,2025-05-13
111870,liquidity,2025-05-13
096760,liquidity,2025-05-13
036220,liquidity,2025-05-13
036170,liquidity,2025-05-13
250930,liquidity,2025-05-13
208860,liquidity,2025-05-13
003580,liquidity,2025-05-13
021320,liquidity,2025-05-13
003070,liquidity,2025-05-13
119650,liquidity,2025-05-13
089600,liquidity,2025-05-13
021820,liquidity,2025-05-13
096630,liquidity,2025-05-13
006840,liquidity,2025-05-13
045300,liquidity,2025-05-13
051780,liquidity,2025-05-13
039570,liquidity,2025-05-13
043710,liquidity,2025-05-13
241690,liquidity,2025-05-13
039740,liquidity,2025-05-13
025530,liquidity,2025-05-13
024880,liquidity,2025-05-13
053260,liquidity,2025-05-13
189860,liquidity,2025-05-13
282880,liquidity,2025-05-13
032560,liquidity,2025-05-13
257370,liquidity,2025-05-13
122310,liquidity,2025-05-13
046310,liquidity,2025-05-13
024810,liquidity,2025-05-13
003800,liquidity,2025-05-13
023150,liquidity,2025-05-13
417010,liquidity,2025-05-13
131180,liquidity,2025-05-13
269620,liquidity,2025-05-13
214610,liquidity,2025-05-13
