종목코드,섹터코드,섹터명
372170,In,산업
372910,In,산업
373220,In,산업
375500,In,산업
376980,In,산업
377330,In,산업
381620,In,산업
382480,In,산업
382800,In,산업
382840,In,산업
382900,In,산업
383310,In,산업
383800,In,산업
388050,In,산업
388720,In,산업
389500,In,산업
393890,In,산업
402340,In,산업
403550,In,산업
413630,In,산업
415380,In,산업
418550,In,산업
419080,In,산업
440320,In,산업
443060,In,산업
448280,In,산업
448710,In,산업
450080,In,산업
451760,In,산업
452280,In,산업
454910,In,산업
459510,In,산업
460930,In,산업
462350,In,산업
465770,In,산업
466100,In,산업
474170,In,산업
474610,In,산업
475400,In,산업
479960,In,산업
480370,In,산업
484810,In,산업
484870,In,산업
487570,In,산업
489790,In,산업
950140,In,산업
000040,CD,임의소비재
000050,CD,임의소비재
000240,CD,임의소비재
000270,CD,임의소비재
000300,CD,임의소비재
000430,CD,임의소비재
000680,CD,임의소비재
000950,CD,임의소비재
001000,CD,임의소비재
001070,CD,임의소비재
001380,CD,임의소비재
001420,CD,임의소비재
001460,CD,임의소비재
001530,CD,임의소비재
001620,CD,임의소비재
002070,CD,임의소비재
002170,CD,임의소비재
002350,CD,임의소비재
002450,CD,임의소비재
002700,CD,임의소비재
002880,CD,임의소비재
002920,CD,임의소비재
003200,CD,임의소비재
003610,CD,임의소비재
003620,CD,임의소비재
003800,CD,임의소비재
003830,CD,임의소비재
004060,CD,임의소비재
004100,CD,임의소비재
004170,CD,임의소비재
004270,CD,임의소비재
004490,CD,임의소비재
004590,CD,임의소비재
004700,CD,임의소비재
004840,CD,임의소비재
005030,CD,임의소비재
005320,CD,임의소비재
005380,CD,임의소비재
005390,CD,임의소비재
005710,CD,임의소비재
005720,CD,임의소비재
005800,CD,임의소비재
005850,CD,임의소비재
006060,CD,임의소비재
006370,CD,임의소비재
006660,CD,임의소비재
006730,CD,임의소비재
007340,CD,임의소비재
007680,CD,임의소비재
007700,CD,임의소비재
007720,CD,임의소비재
007860,CD,임의소비재
007980,CD,임의소비재
008290,CD,임의소비재
008370,CD,임의소비재
008500,CD,임의소비재
008600,CD,임의소비재
008700,CD,임의소비재
008770,CD,임의소비재
008830,CD,임의소비재
009140,CD,임의소비재
009240,CD,임의소비재
009270,CD,임의소비재
009320,CD,임의소비재
009680,CD,임의소비재
009900,CD,임의소비재
009970,CD,임의소비재
010100,CD,임의소비재
010580,CD,임의소비재
010600,CD,임의소비재
010690,CD,임의소비재
010770,CD,임의소비재
011080,CD,임의소비재
011090,CD,임의소비재
011210,CD,임의소비재
011300,CD,임의소비재
